symbol,code,name,sector[wstock : cn : daily]
SH600421,600421,YFKG-仰帆控股,--
SH600422,600422,KYJT-昆药集团,--
SH600423,600423,LHGF-柳化股份,--
SH600425,600425,QSJH-青松建化,--
SH600426,600426,HLHS-华鲁恒升,--
SH600428,600428,ZYHY-中远航运,--
SH600429,600429,SYGF-三元股份,--
SH600432,600432,JENY-吉恩镍业,--
SH600433,600433,GHGX-冠豪高新,--
SH600435,600435,BFDH-北方导航,--
SH600436,600436,PZH-片仔癀,--
SH600438,600438,TWGF-通威股份,--
SH600439,600439,RBK-瑞贝卡,--
SH600444,600444,STGT-*ST国通,--
SH600446,600446,JZGF-金证股份,--
SH600448,600448,HFGF-华纺股份,--
SH600449,600449,NXJC-宁夏建材,--
SH600452,600452,FLDL-涪陵电力,--
SH600455,600455,BTGF-博通股份,--
SH600456,600456,BTGF-宝钛股份,--
SH600458,600458,SDXC-时代新材,--
SH600459,600459,GYBY-贵研铂业,--
SH600460,600460,SLW-士兰微,--
SH600461,600461,HCSY-洪城水业,--
SH600462,600462,SXZY-石岘纸业,--
SH600463,600463,KGGF-空港股份,--
SH600466,600466,LGFZ-蓝光发展,--
SH600467,600467,HDJ-好当家,--
SH600468,600468,BLDQ-百利电气,--
SH600469,600469,FSGF-风神股份,--
SH600470,600470,LGHG-六国化工,--
SH600475,600475,HGGF-华光股份,--
SH600476,600476,XYKJ-湘邮科技,--
SH600477,600477,HXGG-杭萧钢构,--
SH600478,600478,KLY-科力远,--
SH600479,600479,QJYY-千金药业,--
SH600480,600480,LYGF-凌云股份,--
SH600481,600481,SLJN-双良节能,--
SH600482,600482,FFGF-风帆股份,--
SH600483,600483,FNGF-福能股份,--
SH600485,600485,XWJT-信威集团,--
SH600486,600486,YNHG-扬农化工,--
SH600487,600487,HTGD-亨通光电,--
SH600488,600488,TYGF-天药股份,--
SH600489,600489,ZJHJ-中金黄金,--
SH600490,600490,PXZY-鹏欣资源,--
SH600491,600491,LYJS-龙元建设,--
SH600493,600493,FZFZ-凤竹纺织,--
SH600495,600495,JXCZ-晋西车轴,--
SH600496,600496,JGGG-精工钢构,--
SH600497,600497,CHXZ-驰宏锌锗,--
SH600498,600498,FHTX-烽火通信,--
SH600499,600499,KDJN-科达洁能,--
SH600500,600500,ZHGJ-中化国际,--
SH600501,600501,HTCG-航天晨光,--
SH600502,600502,AHSL-安徽水利,--
SH600503,600503,HLJZ-华丽家族,--
SH600505,600505,XCDL-西昌电力,--
SH600506,600506,XLGF-香梨股份,--
SH600507,600507,FDTG-方大特钢,--
SH600508,600508,SHNY-上海能源,--
SH600509,600509,TFNY-天富能源,--
SH600510,600510,HMD-黑牡丹,--
SH600511,600511,GYGF-国药股份,--
SH600512,600512,TDJS-腾达建设,--
SH600513,600513,LHYY-联环药业,--
