symbol,code,name,sector[wstock : cn : daily]
SZ000720,000720,XNTS-新能泰山,--
SZ000721,000721,XAYS-西安饮食,--
SZ000722,000722,HNFZ-湖南发展,--
SZ000723,000723,MJNY-美锦能源,--
SZ000725,000725,JDFA-京东方Ａ,--
SZ000726,000726,LTA-鲁泰Ａ,--
SZ000727,000727,HDKJ-华东科技,--
SZ000728,000728,GYZQ-国元证券,--
SZ000729,000729,YJPJ-燕京啤酒,--
SZ000731,000731,SCMF-四川美丰,--
SZ000732,000732,THJT-泰禾集团,--
SZ000733,000733,ZHKJ-振华科技,--
SZ000735,000735,LNS-罗牛山,--
SZ000736,000736,ZFDC-中房地产,--
SZ000737,000737,NFHG-南风化工,--
SZ000738,000738,ZHDK-中航动控,--
SZ000739,000739,PLYY-普洛药业,--
SZ000748,000748,CCXX-长城信息,--
SZ000750,000750,GHZQ-国海证券,--
SZ000751,000751,XYGF-锌业股份,--
SZ000752,000752,XCFZ-西藏发展,--
SZ000753,000753,ZZFZ-漳州发展,--
SZ000756,000756,XHZY-新华制药,--
SZ000757,000757,HWGF-浩物股份,--
SZ000758,000758,ZSGF-中色股份,--
SZ000759,000759,ZBJT-中百集团,--
SZ000760,000760,STE-斯太尔,--
SZ000761,000761,BGBC-本钢板材,--
SZ000762,000762,XCKY-西藏矿业,--
SZ000766,000766,THJM-通化金马,--
SZ000767,000767,ZZDL-漳泽电力,--
SZ000768,000768,ZHFJ-中航飞机,--
SZ000776,000776,GFZQ-广发证券,--
SZ000777,000777,ZHKJ-中核科技,--
SZ000778,000778,XXZG-新兴铸管,--
SZ000779,000779,*STPS-*ST派神,--
SZ000780,000780,PZNY-平庄能源,--
SZ000782,000782,MDGF-美达股份,--
SZ000783,000783,CJZQ-长江证券,--
SZ000785,000785,WHZS-武汉中商,--
SZ000786,000786,BXJC-北新建材,--
SZ000788,000788,BDYY-北大医药,--
SZ000789,000789,WNQ-万年青,--
SZ000790,000790,HSJT-华神集团,--
SZ000791,000791,GSDT-甘肃电投,--
SZ000792,000792,YHGF-盐湖股份,--
SZ000793,000793,HWCM-华闻传媒,--
SZ000795,000795,TYGY-太原刚玉,--
SZ000796,000796,YSGF-易食股份,--
SZ000797,000797,ZGWY-中国武夷,--
SZ000798,000798,ZSYY-中水渔业,--
SZ000799,000799,JGJ-酒鬼酒,--
SZ000800,000800,YQJC-一汽轿车,--
SZ000801,000801,SCJZ-四川九洲,--
SZ000802,000802,BJWH-北京文化,--
SZ000803,000803,JYCC-金宇车城,--
SZ000806,000806,YHTZ-银河投资,--
SZ000807,000807,YLGF-云铝股份,--
SZ000809,000809,TLXC-铁岭新城,--
SZ000810,000810,CWSZ-创维数字,--
SZ000811,000811,YTBL-烟台冰轮,--
SZ000812,000812,SXJY-陕西金叶,--
SZ000813,000813,TSFZ-天山纺织,--
SZ000815,000815,MLZY-美利纸业,--
SZ000816,000816,JHDL-江淮动力,--
SZ000818,000818,FDHG-方大化工,--
SZ000819,000819,YYXC-岳阳兴长,--
SZ000820,000820,JCGF-金城股份,--
SZ000821,000821,JSQJ-京山轻机,--
SZ000822,000822,*STHH-*ST海化,--
SZ000823,000823,CSDZ-超声电子,--
SZ000825,000825,TGBX-太钢不锈,--
SZ000826,000826,SDHJ-桑德环境,--
SZ000828,000828,DZKG-东莞控股,--
SZ000829,000829,TYKG-天音控股,--
SZ000830,000830,LXHG-鲁西化工,--
SZ000831,000831,WKXT-五矿稀土,--
SZ000833,000833,GTGF-贵糖股份,--
SZ000835,000835,CCDM-长城动漫,--
SZ000836,000836,ZMKJ-鑫茂科技,--
SZ000837,000837,QCJC-秦川机床,--
SZ000838,000838,GXDC-国兴地产,--
SZ000839,000839,ZXGA-中信国安,--
SZ000848,000848,CDLL-承德露露,--
SZ000850,000850,HMGF-华茂股份,--
SZ000851,000851,GHGF-高鸿股份,--
SZ000852,000852,JZGF-江钻股份,--
SZ000856,000856,JDZB-冀东装备,--
SZ000858,000858,WLY-五粮液,--
SZ000859,000859,GFSY-国风塑业,--
SZ000860,000860,SZNY-顺鑫农业,--
SZ000861,000861,HYGF-海印股份,--
SZ000862,000862,YXNY-银星能源,--
SZ000863,000863,SXGF-三湘股份,--
SZ000868,000868,AKKC-安凯客车,--
SZ000869,000869,ZY-张裕Ａ,--
SZ000875,000875,JDGF-吉电股份,--
SZ000876,000876,XXW-新希望,--
SZ000877,000877,TSGF-天山股份,--
SZ000878,000878,YNTY-云南铜业,--
SZ000880,000880,WCZJ-潍柴重机,--
SZ000881,000881,DLGJ-大连国际,--
