symbol,code,name,sector[shareinvestor : sg : daily]
5DD.SI,5DD,Micro-Mechanics (Holdings) Ltd.,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment
5DL.SI,5DL,Koon Holdings Limited,Construction and Engineering,Capital Goods
5DM.SI,5DM,Ying Li International Real Estate Limited,Real Estate Management and Development,Real Estate
5DN.SI,5DN,Ezra Holdings Limited,Energy Equipment and Services,Energy
5DO.SI,5DO,Sakae Holdings Ltd.,Hotels | Restaurants and Leisure,Consumer Services
5DP.SI,5DP,Heeton Holdings Limited,Real Estate Management and Development,Real Estate
5DS.SI,5DS,Megachem Limited,Trading Companies and Distributors,Capital Goods
5DX.SI,5DX,Metal Component Engineering Limited,Machinery,Capital Goods
5EB.SI,5EB,CFM Holdings Limited,Machinery,Capital Goods
5EC.SI,5EC,ISR Capital Limited,Capital Markets,Diversified Financials
5EF.SI,5EF,Adventus Holdings Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
5EG.SI,5EG,Zhongxin Fruit and Juice Limited,Food Products,Food | Beverage and Tobacco
5EK.SI,5EK,SinoCloud Group Limited,IT Services,Software and Services
5EL.SI,5EL,Lasseters International Holdings Limited,Hotels | Restaurants and Leisure,Consumer Services
5EN.SI,5EN,Midas Holdings Limited,Metals and Mining,Materials
5ER.SI,5ER,Best World International Limited,Personal Products,Household and Personal Products
5ET.SI,5ET,Attilan Group Limited,Capital Markets,Diversified Financials
5EV.SI,5EV,Hosen Group Ltd.,Food and Staples Retailing,Food and Staples Retailing
5EW.SI,5EW,Pan Asian Holdings Limited,Machinery,Capital Goods
5F4.SI,5F4,Figtree Holdings Limited,Construction and Engineering,Capital Goods
5F7.SI,5F7,Wilton Resources Corporation Limited,Metals and Mining,Materials
5FA.SI,5FA,JEP Holdings Ltd.,Aerospace and Defense,Capital Goods
5FL.SI,5FL,Falcon Energy Group Limited,Energy Equipment and Services,Energy
5FW.SI,5FW,Acesian Partners Limited,Machinery,Capital Goods
5FX.SI,5FX,New Wave Holdings Ltd.,Trading Companies and Distributors,Capital Goods
5G1.SI,5G1,Eurosports Global Limited,Specialty Retail,Retailing
5G2.SI,5G2,Kim Heng Offshore & Marine Holdings Limited,Energy Equipment and Services,Energy
5G3.SI,5G3,TalkMed Group Limited,Healthcare Providers and Services,Healthcare Equipment and Services
5G4.SI,5G4,Infinio Group Limited,Metals and Mining,Materials
5G9.SI,5G9,Tritech Group Limited,Construction and Engineering,Capital Goods
5GD.SI,5GD,Sunpower Group Ltd.,Machinery,Capital Goods
5GF.SI,5GF,Nico Steel Holdings Limited,Metals and Mining,Materials
5GI.SI,5GI,Interra Resources Limited,Oil | Gas and Consumable Fuels,Energy
5GJ.SI,5GJ,AusGroup Limited,Construction and Engineering,Capital Goods
5GZ.SI,5GZ,AA Group Holdings Ltd.,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
5H0.SI,5H0,SingHaiyi Group Ltd.,Real Estate Management and Development,Real Estate
