symbol,code,name,sector[shareinvestor : sg : daily]
S35.SI,S35,Sing Investments & Finance Limited,Consumer Finance,Diversified Financials
S3N.SI,S3N,OKH Global Ltd.,Construction and Engineering,Capital Goods
S41.SI,S41,Hong Leong Finance Limited,Consumer Finance,Diversified Financials
S44.SI,S44,EnGro Corporation Limited,Construction Materials,Materials
S45U.SI,S45U,Singapore Index Fund,Capital Markets,Diversified Financials
S46.SI,S46,San Teh Ltd,Hotels | Restaurants and Leisure,Consumer Services
S49.SI,S49,Singapore Reinsurance Corporation Limited,Insurance,Insurance
S51.SI,S51,Sembcorp Marine Ltd,Machinery,Capital Goods
S56.SI,S56,Samudera Shipping Line Ltd,Marine,Transportation
S58.SI,S58,SATS Ltd.,Transportation Infrastructure,Transportation
S59.SI,S59,SIA Engineering Company Limited,Transportation Infrastructure,Transportation
S61.SI,S61,SBS Transit Ltd,Road and Rail,Transportation
S63.SI,S63,Singapore Technologies Engineering Ltd,Aerospace and Defense,Capital Goods
S68.SI,S68,Singapore Exchange Limited,Diversified Financial Services,Diversified Financials
S69.SI,S69,Serial System Ltd,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
S6NU.SI,S6NU,Croesus Retail Trust,Real Estate Management and Development,Real Estate
S71.SI,S71,Sunright Limited,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment
S7OU.SI,S7OU,Asian Pay Television Trust,Media,Media
S7P.SI,S7P,Soilbuild Construction Group Ltd.,Construction and Engineering,Capital Goods
S85.SI,S85,Straco Corporation Limited,Hotels | Restaurants and Leisure,Consumer Services
S91.SI,S91,Alibaba Pictures Group Limited,Media,Media
S9B.SI,S9B,TEE Land Limited,Real Estate Management and Development,Real Estate
SK3.SI,SK3,KrisEnergy Ltd.,Oil | Gas and Consumable Fuels,Energy
SK6U.SI,SK6U,SPH REIT,Equity Real Estate Investment Trusts (REITs),Real Estate
SK7.SI,SK7,OUE Hospitality Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
SV3U.SI,SV3U,Soilbuild Business Space REIT,Equity Real Estate Investment Trusts (REITs),Real Estate
T03.SI,T03,Tat Hong Holdings Ltd,Trading Companies and Distributors,Capital Goods
T09.SI,T09,TT International Limited,Specialty Retail,Retailing
T12.SI,T12,Tat Seng Packaging Group Ltd,Containers and Packaging,Materials
T13.SI,T13,RH PetroGas Limited,Oil | Gas and Consumable Fuels,Energy
T14.SI,T14,Tianjin Zhongxin Pharmaceutical Group Corporation Limited,Pharmaceuticals,Pharmaceuticals | Biotechnology and Life Sciences
T18.SI,T18,TPV Technology Limited,Technology Hardware | Storage and Peripherals,Technology Hardware and Equipment
T19.SI,T19,Transcorp Holdings Limited,Specialty Retail,Retailing
T24.SI,T24,Tuan Sing Holdings Limited,Real Estate Management and Development,Real Estate
T39.SI,T39,Singapore Press Holdings Limited,Media,Media
T41.SI,T41,Telechoice International Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
T42.SI,T42,China Auto Electronics Group Limited,Auto Components,Automobiles and Components
T43.SI,T43,Techcomp (Holdings) Limited,Healthcare Providers and Services,Healthcare Equipment and Services
T4B.SI,T4B,Sino Grandness Food Industry Group Limited,Food Products,Food | Beverage and Tobacco
T4E.SI,T4E,Compact Metal Industries Ltd,Building Products,Capital Goods
T55.SI,T55,TIH Limited,Capital Markets,Diversified Financials
T6I.SI,T6I,ValueMax Group Limited,Consumer Finance,Diversified Financials
T82U.SI,T82U,Suntec Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
T8B.SI,T8B,Viva Industrial Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
T8JU.SI,T8JU,Saizen Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
T8V.SI,T8V,Pacific Radiance Ltd.,Energy Equipment and Services,Energy
TQ5.SI,TQ5,Frasers Centrepoint Limited,Real Estate Management and Development,Real Estate
TS0U.SI,TS0U,OUE Commercial Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
U04.SI,U04,United Engineers Limited,Construction and Engineering,Capital Goods
U06.SI,U06,United Industrial Corporation Limited,Real Estate Management and Development,Real Estate
U09.SI,U09,UPP Holdings Limited,Paper and Forest Products,Materials
U10.SI,U10,UOB-Kay Hian Holdings Limited,Capital Markets,Diversified Financials
U11.SI,U11,United Overseas Bank Limited,Banks,Banks
U13.SI,U13,United Overseas Insurance Limited,Insurance,Insurance
U14.SI,U14,UOL Group Limited,Real Estate Management and Development,Real Estate
U19.SI,U19,CITIC Envirotech Ltd.,Commercial Services and Supplies,Commercial and Professional Services
U6C.SI,U6C,PACC Offshore Services Holdings Ltd.,Energy Equipment and Services,Energy
U77.SI,U77,Sarine Technologies Ltd.,Machinery,Capital Goods
U96.SI,U96,Sembcorp Industries Ltd,Industrial Conglomerates,Capital Goods
U9E.SI,U9E,China Everbright Water Limited,Water Utilities,Utilities
UD1U.SI,UD1U,IREIT Global,Equity Real Estate Investment Trusts (REITs),Real Estate
UD2.SI,UD2,Japfa Ltd.,Food Products,Food | Beverage and Tobacco
UQ4.SI,UQ4,EMAS Offshore Limited,Energy Equipment and Services,Energy
UQ7.SI,UQ7,Blue Sky Power Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
UV1.SI,UV1,Regal International Group Ltd.,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
V01.SI,V01,VICOM Ltd,Commercial Services and Supplies,Commercial and Professional Services
V03.SI,V03,Venture Corporation Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
W05.SI,W05,Wing Tai Holdings Limited,Real Estate Management and Development,Real Estate
Y03.SI,Y03,Yeo Hiap Seng Limited,Food Products,Food | Beverage and Tobacco
Y06.SI,Y06,Green Build Technology Limited,Containers and Packaging,Materials
Y35.SI,Y35,CEFC International Limited,Oil | Gas and Consumable Fuels,Energy
Y45.SI,Y45,Singapore Myanmar Investco Limited,Trading Companies and Distributors,Capital Goods
Y92.SI,Y92,Thai Beverage Public Company Limited,Beverages,Food | Beverage and Tobacco
Z25.SI,Z25,Yanlord Land Group Limited,Real Estate Management and Development,Real Estate
Z59.SI,Z59,Yoma Strategic Holdings Ltd.,Real Estate Management and Development,Real Estate
Z74.SI,Z74,Singapore Telecommunications Limited,Diversified Telecommunication Services,Telecommunication Services
