symbol,code,name,sector[yahoo : us : daily]
HIHO,HIHO,Highway Holdings Limited(公路控股),Industrial Goods,3.85
HIMX,HIMX,Himax Technologies Inc.(奇景光电),Technology,175.19
HIW,HIW,Highwoods Properties Inc.,Financial,103.66
HK,HK,Halcon Resources Corporation,Basic Materials,3.74
HLF,HLF,Herbalife Ltd.,Consumer Goods,96.33
HLG,HLG,Hailiang Education Group Inc.,Services,25.72
HLT,HLT,Hilton Worldwide Holdings Inc.,Services,996.11
HMHC,HMHC,Houghton Mifflin Harcourt Company,Services,118
HNP,HNP,Huaneng Power International Inc.(华能电力),Utilities,565.17
HOG,HOG,Harley-Davidson Inc.,Consumer Goods,178.44
HOLI,HOLI,HollySys Automation Technologies Ltd.(和利时自动化),Industrial Goods,59.38
HOLX,HOLX,Hologic Inc.,Healthcare,277.55
HOMB,HOMB,Home Bancshares Inc. (Conway AR),Financial,134.18
HON,HON,Honeywell International Inc.,Industrial Goods,763.7
HOPE,HOPE,Hope Bancorp Inc.,Financial,128.35
HP,HP,Helmerich & Payne Inc.,Basic Materials,107.85
