symbol,code,name,sector[yahoo : us : daily]
UNH,UNH,UnitedHealth Group Incorporated,Healthcare,952
UNP,UNP,Union Pacific Corporation,Services,829
UNVR,UNVR,Univar Inc.,Basic Materials,139
UPS,UPS,United Parcel Service Inc.,Services,867.96
URBN,URBN,Urban Outfitters Inc.,Services,111.01
URI,URI,United Rentals Inc.,Services,83.62
USB,USB,U.S. Bancorp,Financial,1710
USCR,USCR,U.S. Concrete Inc.,Industrial Goods,15.22
USG,USG,USG Corporation,Industrial Goods,139.38
UTHR,UTHR,United Therapeutics Corporation,Healthcare,42.66
UTSI,UTSI,UTStarcom Holdings Corp.(UT斯达康),Technology,35.56
V,V,Visa Inc.,Financial,2400
VAR,VAR,Varian Medical Systems Inc.,Healthcare,93.02
VEEV,VEEV,Veeva Systems Inc.,Technology,137.92
VFC,VFC,V.F. Corporation,Consumer Goods,413.46
VG,VG,Vonage Holdings Corporation,Technology,224.8
VIPS,VIPS,Vipshop Holdings Limited(唯品会),Services,588.83
VISN,VISN,VisionChina Media Inc.(华视传媒),Services,5.18
VLO,VLO,Valero Energy Corporation,Basic Materials,454.53
VMC,VMC,Vulcan Materials Company,Industrial Goods,127.94
VMW,VMW,VMware Inc.,Technology,412.37
VNET,VNET,21Vianet Group Inc.(世纪互联),Technology,88.05
VNO,VNO,Vornado Realty Trust,Financial,184.78
VNTV,VNTV,Vantiv Inc.,Services,195.76
VOYA,VOYA,Voya Financial Inc.,Financial,199.6
VRSK,VRSK,Verisk Analytics Inc.,Services,167.87
VRSN,VRSN,VeriSign Inc.,Technology,105.86
VRTX,VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,241.58
VRX,VRX,Valeant Pharmaceuticals International Inc.,Healthcare,349.5
VSTO,VSTO,Vista Outdoor Inc.,Consumer Goods,59.92
VWR,VWR,VWR Corporation,Healthcare,129.97
VZ,VZ,Verizon Communications Inc.,Technology,4180
WAB,WAB,Westinghouse Air Brake Technologies Corporation,Services,86.42
WAL,WAL,Western Alliance Bancorporation,Financial,98.97
WAT,WAT,Waters Corporation,Healthcare,80.05
WB,WB,Weibo Corporation(微博),Technology,227.09
WBA,WBA,Walgreens Boots Alliance Inc.,Services,1090
WBAI,WBAI,500.com Limited(500彩票网),Services,45.34
WBMD,WBMD,WebMD Health Corp.,Technology,39.6
WBS,WBS,Webster Financial Corp.,Financial,91.3
WCC,WCC,WESCO International Inc.,Services,45.6
WCIC,WCIC,WCI Communities Inc.,Industrial Goods,26.57
WCN,WCN,Waste Connections Inc.,Industrial Goods,177.22
WDR,WDR,Waddell & Reed Financial Inc.,Financial,80.35
WEC,WEC,WEC Energy Group Inc.,Utilities,320.06
WEN,WEN,The Wendy's Company,Services,262.18
WERN,WERN,Werner Enterprises Inc.,Services,71.64
WETF,WETF,WisdomTree Investments Inc.,Financial,131.64
WFC,WFC,Wells Fargo & Company,Financial,5040
WFM,WFM,Whole Foods Market Inc.,Services,318.5
WHR,WHR,Whirlpool Corp.,Consumer Goods,75.7
WIT,WIT,Wipro Ltd.,Technology,1780
WLK,WLK,Westlake Chemical Corp.,Basic Materials,126.2
WMT,WMT,Wal-Mart Stores Inc.,Services,3080
WNC,WNC,Wabash National Corp.,Consumer Goods,63.6
WNR,WNR,Western Refining Inc.,Basic Materials,110.13
WOOF,WOOF,VCA Inc.,Services,84.23
WOR,WOR,Worthington Industries Inc.,Basic Materials,63.25
WR,WR,Westar Energy Inc.,Utilities,142.72
WRE,WRE,Washington Real Estate Investment Trust,Financial,75.02
WRI,WRI,Weingarten Realty Investors,Financial,128.49
WSM,WSM,Williams-Sonoma Inc.,Services,84.62
WTR,WTR,Aqua America Inc.,Utilities,180.95
WU,WU,The Western Union Company,Financial,483.15
WUBA,WUBA,58.com Inc.(58同城),Technology,173.73
WWAV,WWAV,The WhiteWave Foods Company,Consumer Goods,178.93
WWW,WWW,Wolverine World Wide Inc.,Consumer Goods,95.6
WYN,WYN,Wyndham Worldwide Corporation,Services,106.39
WYNN,WYNN,Wynn Resorts Ltd.,Services,104.77
XEL,XEL,Xcel Energy Inc.,Utilities,519.77
XIN,XIN,Xinyuan Real Estate Co. Ltd.(鑫苑置业),Financial,66.59
XL,XL,XL Group Ltd,Financial,273.66
XNET,XNET,Xunlei Limited(迅雷),Technology,66.56
XNY,XNY,China Xiniya Fashion Limited(希尼亚),Consumer Goods,14.75
XOMA,XOMA,XOMA Corporation,Healthcare,6.02
XRS,XRS,TAL Education Group(好未来),Services,80.59
XRX,XRX,Xerox Corporation,Technology,1010
XYL,XYL,Xylem Inc.,Industrial Goods,179.3
YECO,YECO,Yulong Eco-Materials Limited,Industrial Goods,11.72
YGE,YGE,Yingli Green Energy Holding Co. Ltd.(英利),Technology,18.24
YNDX,YNDX,Yandex N.V.,Technology,335.71
YRD,YRD,Yirendai Ltd.(宜人贷),Financial,58.42
YUM,YUM,Yum! Brands Inc.,Services,370.18
YUMC,YUMC,Yum China Holdings Inc. Common,Services,382.9
YY,YY,YY Inc.(欢聚时代),Technology,37.82
YZC,YZC,Yanzhou Coal Mining Co. Ltd.(兖州煤业),Basic Materials,948.04
ZION,ZION,Zions Bancorporation,Financial,204.31
ZLTQ,ZLTQ,ZELTIQ Aesthetics Inc.,Healthcare,39.75
ZNH,ZNH,China Southern Airlines Co. Ltd.(南方航空),Services,323.89
ZOES,ZOES,Zoe's Kitchen Inc.,Services,19.44
ZPIN,ZPIN,Zhaopin Ltd.(智联招聘),Services,54.86
ZTO,ZTO,ZTO EXPRESS (CAYMAN) INC.(中通),Services,null
ZTS,ZTS,Zoetis Inc.,Healthcare,492.96
ZX,ZX,China Zenix Auto International Limited(正兴集团),Consumer Goods,51.2
