40A.SI,40A,IPS Securex,--
40B.SI,40B,SMJ Intl,--
40D.SI,40D,Starburst,--
40E.SI,40E,Spackman,--
40F.SI,40F,Alliance Mineral,--
40I.SI,40I,Terratech,--
40N.SI,40N,Versalink,--
40R.SI,40R,Serrano,--
40S.SI,40S,Perennial Hldgs,--
40T.SI,40T,ISEC,--
40U.SI,40U,MS Hldgs,--
40V.SI,40V,Singapore-eDev,--
40W.SI,40W,ZICO Hldgs,--
41A.SI,41A,UG Healthcare,--
41B.SI,41B,Huationg Global,--
41C.SI,41C,MM2 Asia,--
C60.SI,C60,Amplefield^,--
C61U.SI,C61U,CapitaCom Trust,--
C68.SI,C68,Mirach Energy,--
C6L.SI,C6L,SIA,--
C6U.SI,C6U,SIA 200,--
C71.SI,C71,China Paper,--
C76.SI,C76,Creative,--
C86.SI,C86,China Sun Bio,--
C8R.SI,C8R,Jiutian Chemical,--
C92.SI,C92,China Haida,--
C9Q.SI,C9Q,Sinostar Pec,--
CC3.SI,CC3,StarHub,--
CH8.SI,CH8,China Sunsine,--
CH9.SI,CH9,GlobalMaster US$ S,--
CT1.SI,CT1,Avi-Tech^,--
CX5.SI,CX5,Yong Xin Intl^,--
CY6U.SI,CY6U,Ascendas-iTrust,--
CZ3.SI,CZ3,Suntar Eco-City,--
CZ4.SI,CZ4,Dutech,--
D01.SI,D01,DairyFarm USD,--
D03.SI,D03,Del Monte Pac,--
D04.SI,D04,Datapulse Tech,--
D05.SI,D05,DBS,--
D11.SI,D11,Design Studio,--
D1R.SI,D1R,ARA Asset Mgt,--
D2U.SI,D2U,Cacola^,--
D2V.SI,D2V,ChangtianPlastic,--
D38.SI,D38,CDW,--
D3W.SI,D3W,Sinotel Tech,--
D4N.SI,D4N,China New Town,--
D50.SI,D50,China Great Land,--
D5IU.SI,D5IU,Lippo Malls Tr,--
D5N.SI,D5N,Z-Obee,--
D6U.SI,D6U,Dynamic Colours,--
D79.SI,D79,C&amp;G Env Protect,--
D8DU.SI,D8DU,FSL Trust,--
DC9.SI,DC9,Fuxing China,--
DM0.SI,DM0,Hanwell,--
DT2.SI,DT2,China Oilfield^,--
DU4.SI,DU4,Mermaid Maritime,--
E02.SI,E02,Eu Yan Sang,--
E13.SI,E13,Ellipsiz,--
E16.SI,E16,Elec &amp; Eltek USD,--
E17.SI,E17,Excelpoint,--
E18.SI,E18,ECS,--
E23.SI,E23,Europtronic^,--
E25.SI,E25,8Telecom,--
E27.SI,E27,Eucon^,--
E28.SI,E28,Frencken,--
E3B.SI,E3B,Wee Hur,--
E5H.SI,E5H,Golden Agri-Res,--
E5P.SI,E5P,The Hour Glass,--
E6A.SI,E6A,Yongmao,--
E6R.SI,E6R,Samko Timber,--
E8Z.SI,E8Z,Roxy-Pacific,--
E90.SI,E90,China Sky Chem,--
E91.SI,E91,Courage Marine,--
E94.SI,E94,Lizhong Wheel,--
E9A.SI,E9A,Li Heng Chem,--
E9L.SI,E9L,Joyas Intl,--
EB5.SI,EB5,First Resources,--
EB7.SI,EB7,KTL Global,--
EE6.SI,EE6,Mercator Lines,--
EG0.SI,EG0,JES Intl,--
EH5.SI,EH5,UOA,--
ER0.SI,ER0,KSH,--
F01.SI,F01,Vibrant Group,--
F03.SI,F03,Food Empire,--
F10.SI,F10,FJ Benjamin,--
F11.SI,F11,Fung Choi Media,--
F12.SI,F12,Fibrechem Tech,--
F13.SI,F13,Fu Yu,--
F17.SI,F17,GuocoLand,--
F18.SI,F18,Full Apex,--
F1E.SI,F1E,Low Keng Huat,--
F20.SI,F20,Federal Int,--
F22.SI,F22,Fischer Tech,--
F25U.SI,F25U,Fortune Reit HKD,--
F2X.SI,F2X,China Taisan,--
F31.SI,F31,Fragrance,--
F34.SI,F34,Wilmar Intl,--
F3EU.SI,F3EU,Indiabulls Trust,--
F3V.SI,F3V,SinoConstruction,--
F6D.SI,F6D,China Fibretech,--
F83.SI,F83,Cosco,--
F86.SI,F86,MYP,--
F99.SI,F99,F &amp; N,--
F9D.SI,F9D,Boustead,--
F9M.SI,F9M,Kencana Agri,--
FO8.SI,FO8,Eratat Lifestyle,--
FP1.SI,FP1,Dapai Intl^,--
FQ7.SI,FQ7,Jasper Inv,--
FQ8.SI,FQ8,China Sports,--
G07.SI,G07,Great Eastern,--
G08.SI,G08,GP Batteries,--
G0I.SI,G0I,Nam Lee Metal,--
G10.SI,G10,Yuexiu Prop,--
G11.SI,G11,Global Tech,--
G13.SI,G13,Genting Sing,--
G18.SI,G18,GRP,--
G20.SI,G20,GP Industries,--
G31.SI,G31,Global Testing,--
G41.SI,G41,G K Goh,--
G4F.SI,G4F,Otto Marine,--
G50.SI,G50,Grand Banks,--
G54.SI,G54,China Essence^,--
G5X.SI,G5X,Anwell Tech,--
G77.SI,G77,Digiland Intl,--
G86.SI,G86,China Milk,--
G92.SI,G92,China Aviation,--
GG7.SI,GG7,Hai Leck,--
GH3.SI,GH3,Asia Fashion,--
