547.SI,NOBEL DESIGN
N21.SI,NOBLE
543.SI,NOEL GIFTS INTL
N03.SI,NOL
N33.SI,NOMURA YEN1K
MR7.SI,NORDIC
MR8.SI,NOVO^
N02.SI,NSL
5HC.SI,NTEGRATOR INTL
O39.SI,OCBC BANK
O05.SI,OCEAN SKY INTL
579.SI,OCEANUS
584.SI,OEL
O02.SI,OGL RESOURCES A$
S3N.SI,OKH GLOBAL
5CF.SI,OKP
O32.SI,OLAM INTL
5ML.SI,OLD CHANG KEE
ADJ.SI,OLS^
5FI.SI,ORIENTAL
O23.SI,OSIM INTL
O08.SI,OSSIA INTL
G4F.SI,OTTO MARINE
LJ3.SI,OUE
TS0U.SI,OUE COM REIT
SK7.SI,OUE HTRUST
AJ2.SI,OUHUA ENERGY^
RQ1.SI,OVERSEAS EDU
5UX.SI,OXLEY
5UV.SI,P99
P11.SI,PACIFIC ANDES
P15.SI,PACIFIC CENTURY
P47.SI,PACIFIC HC^
T8V.SI,PACIFIC RADIANCE
5EW.SI,PAN ASIAN
P36.SI,PAN HONG PROP
AZY.SI,PAN OCEAN
P52.SI,PAN UNITED
O9E.SI,PARKSON RETAIL
C2PU.SI,PARKWAYLIFE REIT
596.SI,PAVILLON
P19.SI,PCI
IX2.SI,PEC
P13.SI,PENGUIN INTL
40S.SI,PERENNIAL HLDGS
P34.SI,PETRA FOODS
P31.SI,PHARMESIS INTL
AYD.SI,PLASTOFORM HLDG
5PI.SI,PLATO CAPITAL
BDA.SI,PNE IND
5BS.SI,PNE MICRON
P01.SI,POH TIONG CHOON
5BI.SI,POLARIS
5AE.SI,POLLUX PROP
U6C.SI,POSH
P12.SI,POWERMATIC DATA
583.SI,PROGEN
K6S.SI,PRUDENTIAL USD
5WD.SI,PS GROUP
L6T.SI,PSL
UD3.SI,PTERISGLOBAL
QC7.SI,Q&M DENTAL
Q01.SI,QAF
BCV.SI,QIANHU
KT9.SI,QINGMEI
5I0.SI,QT VASCULAR
NR7.SI,RAFFLES EDU
R01.SI,RAFFLES MEDICAL
K22.SI,RAFFLES UNITED
R14.SI,RAMBA ENERGY
UV1.SI,REGAL INTL
RF1U.SI,RELIGARE HTRUST
5DW.SI,RENEWABLE ENERGY
5MM.SI,RESOURCES PRIMA
5WH.SI,REX INTL
T13.SI,RH PETROGAS
B1ZU.SI,RICKMERSMARITIME
AP4.SI,RIVERSTONE
R07.SI,ROTARY ENGG
A50.SI,ROWSLEY
E8Z.SI,ROXY-PACIFIC
BDN.SI,RYOBI KISO
BAI.SI,S I2I^
M1GU.SI,SABANA REIT
T8JU.SI,SAIZEN REIT
5DO.SI,SAKAE
E6R.SI,SAMKO TIMBER
S56.SI,SAMUDERA SHIPPING
S46.SI,SAN TEH
580.SI,SANTAK
NF1.SI,SAPPHIRE
U77.SI,SARINE TECH
S58.SI,SATS
5PL.SI,SBI OFFSHORE
S61.SI,SBS TRANSIT
528.SI,SECOND CHANCE
5FQ.SI,SELECT
U96.SI,SEMBCORP IND
S51.SI,SEMBCORP MARINE
S69.SI,SERIAL SYSTEM
IW5.SI,SEROJA INV
40R.SI,SERRANO
S68.SI,SGX
AWM.SI,SHANGHAI TURBO
S07.SI,SHANGRI-LA HKD
5UE.SI,SHC CAPITAL ASIA
OV8.SI,SHENG SIONG
566.SI,SHS
C6L.SI,SIA
S59.SI,SIA ENGINEERING
5GB.SI,SIIC ENVIRONMENT
5CP.SI,SILVERLAKE AXIS
S05.SI,SIM LIAN
B7K.SI,SIN GHEE HUAT
KF4.SI,SIN HENG MACH
A26.SI,SINARMAS LAND
5UN.SI,SINCAP
S35.SI,SING INV & FIN
5WG.SI,SINGAPORE KITCHEN
41X.SI,SINGAPORE O&AMP;G
40V.SI,SINGAPORE-EDEV
5H0.SI,SINGHAIYI
5IC.SI,SINGHOLDINGS
5OT.SI,SINGMEDICAL
S08.SI,SINGPOST
S49.SI,SINGREINSURANCE
