date,transaction,volume,amount,pe,market value,negotiable value,exchange rate
2012-08-24,314.1033,601887.4791,496.77434811,11.232,144775.3270585948,120667.0365433016,0.3173
2012-08-27,308.8589,603314.5327,478.83008051,11.037,142265.4117147055,118502.6614157678,0.318
2012-08-28,267.0787,547123.1731,422.02417044,11.154,143764.432802997,119586.0324801766,0.2879
2012-08-29,260.9823,522527.7628,417.00501079,11.048,142396.6419256148,118398.6221565682,0.2755
2012-08-30,311.7629,622641.9196,508.99252042,11.061,142544.8232054027,118524.7519352069,0.3277
2012-08-31,230.4028,461784.4671,352.95834574,11.033,142246.6543511256,118237.3838002288,0.2433
2012-09-03,296.1954,611485.1764,480.82400434,11.096,143056.5018021756,119000.0106756734,0.32
2012-09-04,287.2718,575066.8397,475.93505377,11.013,141981.084239969,118097.0872283868,0.3029
2012-09-05,277.1387,577064.3337,450.02868552,10.981,141565.1428265412,117803.1557443203,0.304
2012-09-06,266.7249,561946.1668,427.86944035,11.061,142628.1848439209,118617.2734399323,0.2961
2012-09-07,629.8718,1400581.2289,1112.6334617,11.468,147897.8815791724,122950.7575622977,0.7379
2012-09-10,472.193,1037900.1614,863.12878541,11.507,148362.0657703125,123331.2189098505,0.5466
2012-09-11,394.4451,807200.1588,659.82116326,11.428,147397.7954377469,122496.3637907835,0.4251
2012-09-12,398.6363,842391.9617,692.89976065,11.46,147813.4478412597,122838.3962235756,0.4436
2012-09-13,394.8185,791094.1418,646.46418294,11.372,146702.9218893715,121918.2054935309,0.4167
2012-09-14,427.2281,913626.2077,762.53870755,11.446,147637.6649786656,122740.5002910832,0.4811
2012-09-17,385.1745,765547.765,625.47235166,11.203,144480.7028855929,120168.7146890562,0.4026
2012-09-18,268.4372,560207.7352,444.29427391,11.101,143163.2944853059,119053.1831840206,0.2948
2012-09-19,262.9465,530196.8545,438.99267379,11.145,143739.604325963,119520.4822809042,0.2787
2012-09-20,344.4606,675957.5097,540.14860619,10.915,140750.9837987346,117043.096750159,0.3557
2012-09-21,294.5342,611418.5285,480.00828155,10.924,140879.80670824,117547.8565127284,0.3157
2012-09-24,282.6244,577642.1042,456.36131837,10.959,141332.9198679561,117913.5048462463,0.302
2012-09-25,235.7265,483882.4123,385.00401791,10.939,141061.9402273486,117738.7753835805,0.2524
2012-09-26,252.1585,509871.2086,391.00359552,10.805,139326.4451047594,116265.8398734536,0.2663
2012-09-27,362.2247,767437.7442,603.68588262,11.086,142917.2802344523,119306.3339118865,0.4014
2012-09-28,371.8556,796703.2457,652.2055971,11.247,145002.9332319242,121058.0982038086,0.4162
2012-10-08,265.4329,552389.8644,451.34355065,11.182,144214.0964687106,120340.7014600012,0.2888
2012-10-09,406.5885,848211.2881,676.69254749,11.422,147413.8034297967,122728.8274845831,0.4433
2012-10-10,361.7339,791901.1085,606.99769223,11.447,147777.5803050263,123005.2765082198,0.4138
2012-10-11,371.342,747909.082,568.9934499,11.353,146540.9286871514,122002.3816992428,0.3902
2012-10-12,318.0212,685237.5764,515.55512445,11.362,146677.6034426296,122148.339070701,0.3576
2012-10-15,265.0757,543570.8051,426.17195927,11.328,146239.4198515413,121991.4042978255,0.2832
2012-10-16,280.597,579614.2059,473.17575744,11.33,146280.6064109675,122010.3319474822,0.3028
2012-10-17,281.8454,600265.1256,472.72253765,11.367,146740.7026741248,122400.7076793616,0.3134
2012-10-18,374.4047,875556.6546,659.48643654,11.507,148576.4826951938,123943.4602620968,0.4573
2012-10-19,305.8262,680375.7375,510.20141179,11.489,148328.9822411856,123729.2829988453,0.3545
2012-10-22,279.4516,606497.7154,479.37619664,11.514,148655.3293181681,123964.1774771475,0.3161
2012-10-23,327.4391,734608.0675,544.04447815,11.414,147379.0492510762,122878.3273109167,0.3813
2012-10-24,307.64,733541.3173,499.83910719,11.42,147486.6109468779,123000.1875943904,0.3814
2012-10-25,355.6384,856552.3723,557.97761683,11.345,146488.5271160176,122182.1210002592,0.4471
2012-10-26,351.687,787091.5894,543.14840434,11.156,144023.0859151276,120177.5665753694,0.411
2012-10-29,248.1554,544503.6237,396.07472243,11.117,143549.7030909606,119757.0298082327,0.2839
2012-10-30,265.9436,606503.5387,428.06949999,11.136,143868.9535631399,120002.7160304088,0.3161
2012-10-31,264.5767,597783.8405,432.6131842,11.172,144324.7171283236,120329.4387995851,0.3107
2012-11-01,338.7214,831896.41,628.06340437,11.364,146804.5180093418,122409.7991612562,0.4329
2012-11-02,314.5229,772909.0996,569.39077597,11.433,147677.7719399576,123137.4494563703,0.403
2012-11-05,303.8006,722544.1175,535.55546912,11.415,147472.0550926966,123045.5819313026,0.3733
2012-11-06,324.179,715574.8549,539.00904533,11.372,146912.1748839341,122718.9510593216,0.3717
2012-11-07,268.726,599638.9125,475.99364522,11.371,146893.6367790818,122714.3183088246,0.3112
2012-11-08,304.551,678782.7993,497.31809442,11.192,144531.3462407842,120738.2618275505,0.3516
2012-11-09,240.2057,543783.4496,391.62302028,11.179,144368.2357662503,120556.1826736381,0.2824
2012-11-12,239.2753,574144.0639,425.26044013,11.238,145125.2488187215,121164.6949045531,0.2979
2012-11-13,277.0053,614783.436,447.56922777,11.069,142952.6519164769,119356.4894492146,0.3182
2012-11-14,221.4888,485066.8234,361.14933161,11.11,143478.2918768686,119812.6540811409,0.2513
2012-11-15,238.6345,509194.2316,372.98783324,10.976,141724.1534252913,118345.5963754103,0.2637
2012-11-16,248.2313,496416.7302,368.52009053,10.894,140637.649104166,117369.4135411515,0.2578
2012-11-19,210.3724,454536.3532,361.6803238,10.905,140794.4968524513,117677.6416133646,0.2354
2012-11-20,204.5849,427563.0025,334.7412713,10.862,140231.9582242931,117173.3565254615,0.2217
2012-11-21,249.1608,541390.8709,401.96361023,10.976,141731.1295162875,118443.223093303,0.2798
2012-11-22,220.2842,460306.0754,340.84742232,10.897,140704.4387330059,117602.4879609254,0.2384
2012-11-23,224.7053,523716.9658,389.78800291,10.961,141526.278732762,118317.8633113908,0.271
2012-11-26,216.213,449853.1844,332.12161577,10.908,140823.1051227663,117692.5466210452,0.2325
2012-11-27,270.3404,569266.3159,392.1252581,10.769,138997.5297352083,116293.0237729047,0.294
2012-11-28,238.5575,508991.3077,346.91391967,10.674,137765.9966957632,115230.4004640922,0.2633
2012-11-29,219.0547,498018.8629,333.14291807,10.621,137065.4659939303,114645.1244147237,0.2577
2012-11-30,239.3006,570644.4697,378.67502294,10.71,138226.3114411117,115696.0513803852,0.2957
2012-12-03,255.8994,625977.0312,435.53397741,10.602,136813.9312514507,114507.91725932,0.3205
2012-12-04,271.6452,631190.9788,435.87705599,10.685,137887.3779228337,115543.0421935128,0.3264
2012-12-05,456.5784,1215487.4938,862.19371988,10.993,141853.4679678432,118801.8714457764,0.6264
2012-12-06,325.2932,823495.5568,591.80378801,10.983,141698.7002975686,118676.8421223327,0.4252
2012-12-07,438.5823,1159309.7061,827.16560471,11.158,143971.323407856,120611.3884118113,0.5999
2012-12-10,436.8301,1159416.1864,817.13667593,11.276,145528.4692387835,121814.0576492108,0.5982
2012-12-11,391.1808,941487.3885,682.68818747,11.227,144907.2622647577,121278.2457697475,0.4861
2012-12-12,327.9629,790278.5106,573.6760003,11.27,145467.6076293214,121858.0545547244,0.408
2012-12-13,318.8542,728315.7446,528.04409635,11.155,143983.3409577557,120587.3434030899,0.3769
2012-12-14,597.8881,1618637.4096,1183.75136415,11.639,150209.9778046867,125765.1972067899,0.8378
2012-12-17,556.9718,1462038.7027,1115.02135731,11.691,150888.5689586444,127037.3967882021,0.7462
2012-12-18,510.7115,1277023.7738,997.84605463,11.703,151065.739576672,127158.5400781086,0.6552
2012-12-19,397.0779,957804.301,765.15650458,11.702,151049.968063961,127169.2384458484,0.4901
2012-12-20,434.7822,1006301.5945,808.79090119,11.735,151467.9672544131,127497.8302266807,0.5175
